Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
96,Stoov,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,5322,1091.24,592.66,28.66,2.87,283,12°C,Paris (France),,,,walls,plaza,temple,,{t1:gules;division:{division:perFess;t:or;line:potenty};shield:polish},https://watabou.github.io/city-generator/?name=Stoov&population=5322&size=24&seed=6028841150096&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
270,Daanstad,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,15632,1064.1,590.44,28.71,2.28,283,12°C,Paris (France),capital,port,citadel,walls,plaza,temple,shanty town,{t1:azure;charges:[{charge:oak;t:argent;p:jln;t2:argent;t3:argent;size:0.7}];shield:hessen},https://watabou.github.io/city-generator/?name=Daanstad&population=15632&size=37&seed=200023522&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.44
291,Stinkenburg,Papeniche,Papeniche County,stinkland,De onzalige Stinklanden,Stinkman,Portuzian undefined,981,558,470,31.32,-8.79,2095,-1°C,Nuuk (Greenland),capital,,citadel,,plaza,,,{t1:vert;charges:[{charge:wing;t:argent;p:e;size:1.5}];shield:renaissance},https://watabou.github.io/city-generator/?name=Stinkenburg&population=981&size=13&seed=6028841150291&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
293,Noordviken,Haapsapa,Haapsapa Earldom,Noordland,Noordland,Noordlander,Soumi Faith,2030,1424,372,33.44,10.15,261,8°C,Prague (Czechia),capital,,citadel,walls,plaza,temple,shanty town,{t1:or;ordinaries:[{ordinary:gore;t:purpure}];charges:[{charge:mullet7;t:azure;p:jln;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Noordviken&population=2030&size=17&seed=6028841150293&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
295,Afgrijselijke Stad,,,Nachtland,Land de Nachtmannen,Stinkman,No religion,344,872.25,147.17,38.31,-1.92,220,5°C,Harbin (China),capital,,citadel,,,,,{t1:argent;charges:[{charge:eagle;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Afgrijselijke+Stad&population=344&size=9&seed=6028841150295&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
296,Boven stoov,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,3411,1106.01,578.45,28.97,3.19,283,12°C,Paris (France),,,,,,,shanty town,{t1:or;charges:[{charge:crocodile;t:azure;p:jln;t2:gules;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=Boven+stoov&population=3411&size=21&seed=6028841150296&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=1&gates=-1
297,Attersehekse,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,6680,1087.61,564.64,29.27,2.79,283,12°C,Paris (France),,,,,,,,{t1:argent;division:{division:perFess;t:vert;line:straight};charges:[{charge:crescent;t:azure;p:jlh;divided:counter;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=Attersehekse&population=6680&size=27&seed=6028841150297&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
298,Klachterstoof,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,5245,1124.07,591.59,28.68,3.59,283,12°C,Paris (France),,,citadel,walls,plaza,,shanty town,{t1:argent;division:{division:perChevronReversed;t:gules;line:engrailed};charges:[{charge:inescutcheon;t:purpure;p:e;size:1.5};{charge:crossHummetty;t:or;p:e;size:0.75}];shield:polish},https://watabou.github.io/city-generator/?name=Klachterstoof&population=5245&size=24&seed=6028841150298&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
299,okbrug,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,890,1136.26,565.54,29.25,3.86,283,12°C,Paris (France),,port,,,plaza,,,{t1:gules;charges:[{charge:lozengeFaceted;t:argent;p:abc;size:0.5}];shield:polish},https://watabou.github.io/village-generator/?pop=890&name=&seed=6028841150299&width=1000&height=455&tags=estuary%2Chighway%2Cfarmland%2Cdense
300,zulkestad,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,6022,1140.83,617.97,28.11,3.96,283,13°C,Milan (Italy),,,,,plaza,,shanty town,{t1:argent;division:{division:perPale;t:gules;line:engrailed};charges:[{charge:ladder;t:sable;p:p;size:0.7};{charge:sunInSplendour2;t:argent;p:q;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=zulkestad&population=6022&size=26&seed=6028841150300&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=1&gates=-1
301,Arestdam,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,8022,1078.49,627.16,27.91,2.59,52,15°C,Rome (Italy),,port,citadel,walls,plaza,,shanty town,{t1:argent;charges:[{charge:mascle;t:vert;p:abc;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=Arestdam&population=8022&size=28&seed=6028841150301&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.91
302,Ooterbrug,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,4322,1114.11,656.46,27.28,3.37,52,15°C,Rome (Italy),,,citadel,,plaza,,,{t1:gules;charges:[{charge:fusil;t:argent;p:beh;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=Ooterbrug&population=4322&size=23&seed=633899408&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
303,Mikkegat,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,143,1110.11,592.47,28.66,3.28,283,12°C,Paris (France),,,,,plaza,,,{t1:argent;division:{division:chevronny;t:azure};charges:[{charge:ladder;t:gules;p:e;divided:counter;size:1.5}];shield:polish},https://watabou.github.io/village-generator/?pop=143&name=&seed=6028841150303&width=600&height=273&tags=river%2Chighway
304,smoekkedorp,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,83,1141.89,598.26,28.54,3.98,283,12°C,Paris (France),,,,,,,,{t1:argent;ordinaries:[{ordinary:pile;t:vert}];charges:[{charge:sunInSplendour2;t:or;p:b;size:0.5}];shield:polish},https://watabou.github.io/village-generator/?pop=83&name=&seed=6028841150304&width=400&height=182&tags=isolated%2Cuncultivated%2Cno+square%2Csparse
305,vumelo,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,231,1161.95,571.43,29.12,4.42,283,12°C,Paris (France),,port,,,,,,{t1:gules;charges:[{charge:ladder;t:argent;p:e;size:1.5}];shield:polish},https://watabou.github.io/village-generator/?pop=231&name=&seed=6028841150305&width=800&height=364&tags=coast%2Cisolated%2Cuncultivated%2Cno+square
306,Armelostoof,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,580,1131.94,577.35,28.99,3.76,283,12°C,Paris (France),,port,,,plaza,,,{t1:sable;charges:[{charge:sword;t:argent;p:e;t2:argent;size:1.5}];shield:polish},https://watabou.github.io/village-generator/?pop=580&name=&seed=6028841150306&width=1000&height=455&tags=estuary%2Chighway%2Cdense
307,Arkerhuizen,Vroomse landen,Vroomse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,120,1185.18,581.33,28.9,4.93,283,12°C,Paris (France),,,citadel,walls,,,,{t1:argent;division:{division:perPale;t:gules;line:straight};ordinaries:[{ordinary:pale;t:azure;line:straight}];shield:polish},https://watabou.github.io/city-generator/?name=Arkerhuizen&population=120&size=6&seed=63638165&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
308,Grootdilkebrugge,Vroomse landen,Vroomse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,1300,1215.15,554.74,29.48,5.58,429,11°C,Antwerp (Belgium),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:bendlet;t:or;line:nebuly}];charges:[{charge:ladder;t:sable;p:joe;size:0.3}];shield:polish},https://watabou.github.io/village-generator/?pop=1300&name=&seed=6028841150308&width=1400&height=636&tags=highway%2Cuncultivated%2Cdense
309,grootaalvelde,Vroomse landen,Vroomse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,2031,1226.05,580.4,28.92,5.82,665,10°C,London (England),,,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:azure;line:straight}];charges:[{charge:ladder;t:argent;p:abc;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=grootaalvelde&population=2031&size=17&seed=6028841150309&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
311,hoogpaaker,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,1394,1165.33,601.64,28.46,4.49,283,12°C,Paris (France),,,citadel,,,,,{t1:vert;division:{division:perSaltire;t:or};charges:[{charge:mullet4;t:argent;p:b;size:0.5};{charge:mullet4;t:azure;p:d;size:0.5};{charge:bridge;t:sable;p:f;size:0.5};{charge:lymphad;t:or;p:h;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=hoogpaaker&population=1394&size=15&seed=6028841150311&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
312,hatterdorp,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,123,1168.78,636.4,27.71,4.57,283,13°C,Milan (Italy),,,,,,,,{t1:argent;charges:[{charge:crossDouble;t:purpure;p:e;size:1.5}];shield:polish},https://watabou.github.io/village-generator/?pop=123&name=&seed=6028841150312&width=600&height=273&tags=highway%2Cuncultivated%2Cno+square
313,kroelstad,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,3200,1170.76,655.5,27.3,4.61,283,13°C,Milan (Italy),,,citadel,walls,,,,{t1:sable;charges:[{charge:crosier;t:argent;p:jeo;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=kroelstad&population=3200&size=20&seed=6028841150313&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
314,ijssendorp,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,328,1187.23,644.14,27.54,4.97,283,13°C,Milan (Italy),,,citadel,,,,,{t1:argent;charges:[{charge:crossFormee2;t:purpure;p:kn;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=ijssendorp&population=328&size=9&seed=6028841150314&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
